epoch,step,train/covariance_offdiag_mean,train/loss,train/subgoal_batch_variance,train/teacher_action_loss,train/teacher_action_mse,train_loss,val/covariance_offdiag_mean,val/loss,val/subgoal_batch_variance,val/teacher_action_loss,val/teacher_action_mse,val_loss
0,9,3.2901763916015625e-05,0.01863078773021698,0.0001621246337890625,0.01863078773021698,0.03726157546043396,0.01863078773021698,,,,,,
0,19,3.075599670410156e-05,0.025841306895017624,0.0001544952392578125,0.025841306895017624,0.05168261379003525,0.025841306895017624,,,,,,
0,29,3.0279159545898438e-05,0.021375959739089012,0.00014972686767578125,0.021375959739089012,0.042751919478178024,0.021375959739089012,,,,,,
0,39,2.9206275939941406e-05,0.033675797283649445,0.000152587890625,0.033675797283649445,0.06735163927078247,0.033675797283649445,,,,,,
0,49,3.933906555175781e-05,0.020648621022701263,0.00017642974853515625,0.020648621022701263,0.04129724204540253,0.020648621022701263,,,,,,
0,59,3.647804260253906e-05,0.015661465004086494,0.000171661376953125,0.015661465004086494,0.03132293000817299,0.015661465004086494,,,,,,
0,69,3.528594970703125e-05,0.014049908146262169,0.00015926361083984375,0.014049908146262169,0.028099816292524338,0.014049908146262169,,,,,,
0,79,3.600120544433594e-05,0.01576710119843483,0.00017642974853515625,0.01576710119843483,0.03153420239686966,0.01576710119843483,,,,,,
0,89,3.743171691894531e-05,0.015100627206265926,0.00017070770263671875,0.015100627206265926,0.030201254412531853,0.015100627206265926,,,,,,
0,99,3.647804260253906e-05,0.016763610765337944,0.00016880035400390625,0.016763610765337944,0.03352722153067589,0.016763610765337944,,,,,,
0,109,3.8623809814453125e-05,0.014389642514288425,0.0001678466796875,0.014389642514288425,0.02877928502857685,0.014389642514288425,,,,,,
0,119,3.337860107421875e-05,0.023097539320588112,0.00015544891357421875,0.023097539320588112,0.0462268590927124,0.023097539320588112,,,,,,
0,129,3.1948089599609375e-05,0.013142513111233711,0.00016307830810546875,0.013142513111233711,0.026285026222467422,0.013142513111233711,,,,,,
0,139,3.62396240234375e-05,0.01461411826312542,0.00016880035400390625,0.01461411826312542,0.02922823652625084,0.01461411826312542,,,,,,
0,149,3.886222839355469e-05,0.021625017747282982,0.00018405914306640625,0.021625017747282982,0.0432567223906517,0.021625017747282982,,,,,,
0,159,3.266334533691406e-05,0.012565618380904198,0.0001621246337890625,0.012565618380904198,0.025131236761808395,0.012565618380904198,,,,,,
0,169,4.57763671875e-05,0.011608028784394264,0.00019931793212890625,0.011608028784394264,0.02321605756878853,0.011608028784394264,,,,,,
0,179,4.267692565917969e-05,0.008779661729931831,0.0001888275146484375,0.008779661729931831,0.017559323459863663,0.008779661729931831,,,,,,
0,189,3.600120544433594e-05,0.016013246029615402,0.00016880035400390625,0.016013246029615402,0.032026492059230804,0.016013246029615402,,,,,,
0,199,3.4332275390625e-05,0.01327509619295597,0.00017070770263671875,0.01327509619295597,0.02655019238591194,0.01327509619295597,,,,,,
0,199,,,,,,,2.16849139178521e-06,0.013061104342341423,5.495548066392075e-06,0.013061104342341423,0.02612864412367344,0.013061104342341423
1,209,3.5762786865234375e-05,0.015359733253717422,0.00018215179443359375,0.015359733253717422,0.030719466507434845,0.015359733253717422,,,,,,
1,219,3.981590270996094e-05,0.013083314523100853,0.00018405914306640625,0.013083314523100853,0.026166629046201706,0.013083314523100853,,,,,,
