epoch,step,train/covariance_offdiag_mean,train/loss,train/subgoal_batch_variance,train/teacher_action_loss,train/teacher_action_mse,train_loss,val/covariance_offdiag_mean,val/loss,val/subgoal_batch_variance,val/teacher_action_loss,val/teacher_action_mse,val_loss
0,9,2.8371810913085938e-05,0.037533074617385864,0.00014209747314453125,0.037533074617385864,0.07506614923477173,0.037533074617385864,,,,,,
0,19,3.218650817871094e-05,0.03085372969508171,0.00015354156494140625,0.03085372969508171,0.06170745939016342,0.03085372969508171,,,,,,
0,29,2.5987625122070312e-05,0.024483023211359978,0.00013446807861328125,0.024483023211359978,0.048966046422719955,0.024483023211359978,,,,,,
0,39,2.6702880859375e-05,0.03341187909245491,0.000133514404296875,0.03341187909245491,0.06682375818490982,0.03341187909245491,,,,,,
0,49,3.0517578125e-05,0.021075263619422913,0.0001506805419921875,0.021075263619422913,0.04224422574043274,0.021075263619422913,,,,,,
0,59,3.147125244140625e-05,0.020160434767603874,0.0001621246337890625,0.020160434767603874,0.04032086953520775,0.020160434767603874,,,,,,
0,69,3.075599670410156e-05,0.02115469053387642,0.00014781951904296875,0.02115469053387642,0.04230938106775284,0.02115469053387642,,,,,,
0,79,3.504753112792969e-05,0.014260382391512394,0.00016021728515625,0.014260382391512394,0.028520764783024788,0.014260382391512394,,,,,,
0,89,3.0517578125e-05,0.012769341468811035,0.00015163421630859375,0.012769341468811035,0.02553868293762207,0.012769341468811035,,,,,,
0,99,3.075599670410156e-05,0.010974991135299206,0.0001430511474609375,0.010974991135299206,0.02194998227059841,0.010974991135299206,,,,,,
0,109,2.384185791015625e-05,0.02900349535048008,0.00012874603271484375,0.02900349535048008,0.05971378833055496,0.02900349535048008,,,,,,
0,119,2.5272369384765625e-05,0.009269499219954014,0.00013256072998046875,0.009269499219954014,0.018538998439908028,0.009269499219954014,,,,,,
0,129,2.753734588623047e-05,0.02217799983918667,0.0001468658447265625,0.02217799983918667,0.04446954280138016,0.02217799983918667,,,,,,
0,139,3.0994415283203125e-05,0.01062022615224123,0.00014972686767578125,0.01062022615224123,0.02124045230448246,0.01062022615224123,,,,,,
0,149,2.574920654296875e-05,0.017468083649873734,0.00013256072998046875,0.017468083649873734,0.03493616729974747,0.017468083649873734,,,,,,
0,159,3.24249267578125e-05,0.009094586595892906,0.000156402587890625,0.009094586595892906,0.018189173191785812,0.009094586595892906,,,,,,
0,169,2.956390380859375e-05,0.014966998249292374,0.0001373291015625,0.014966998249292374,0.029933996498584747,0.014966998249292374,,,,,,
0,179,2.9921531677246094e-05,0.01124014426022768,0.00013828277587890625,0.01124014426022768,0.02248028852045536,0.01124014426022768,,,,,,
0,189,2.777576446533203e-05,0.01765381544828415,0.0001430511474609375,0.01765381544828415,0.0353076308965683,0.01765381544828415,,,,,,
0,199,3.314018249511719e-05,0.01137271523475647,0.00015544891357421875,0.01137271523475647,0.02274543046951294,0.01137271523475647,,,,,,
0,199,,,,,,,1.7579644691068097e-06,0.013258042745292187,4.7475100473093335e-06,0.013258042745292187,0.026520688086748123,0.013258042745292187
1,209,2.8252601623535156e-05,0.013842239044606686,0.000141143798828125,0.013842239044606686,0.02768447808921337,0.013842239044606686,,,,,,
1,219,2.658367156982422e-05,0.019430743530392647,0.00013637542724609375,0.019430743530392647,0.038861487060785294,0.019430743530392647,,,,,,
1,229,2.7298927307128906e-05,0.012269172817468643,0.00013637542724609375,0.012269172817468643,0.024538345634937286,0.012269172817468643,,,,,,
1,239,2.6106834411621094e-05,0.005523286759853363,0.00013256072998046875,0.005523286759853363,0.011046573519706726,0.005523286759853363,,,,,,
1,249,3.0517578125e-05,0.011918673291802406,0.000156402587890625,0.011918673291802406,0.023837346583604813,0.011918673291802406,,,,,,
1,259,2.467632293701172e-05,0.010064633563160896,0.00012683868408203125,0.010064633563160896,0.020129267126321793,0.010064633563160896,,,,,,
1,269,3.266334533691406e-05,0.011065049096941948,0.00016021728515625,0.011065049096941948,0.022152649238705635,0.011065049096941948,,,,,,
1,279,3.123283386230469e-05,0.01053747907280922,0.00013828277587890625,0.01053747907280922,0.02107495814561844,0.01053747907280922,,,,,,
1,289,2.6464462280273438e-05,0.014419090002775192,0.00013828277587890625,0.014419090002775192,0.028838180005550385,0.014419090002775192,,,,,,
